frame,sim_time_T0,n_aggregates,agg_id,n_particles,mass_Mearth,cx_AU,cy_AU,cz_AU,vx,vy,vz,dist_center_AU,r_cyl
50264,5026.5,896,1,346,346.0,4.85617,-0.00139152,-1.06076,0.0906882,0.000747356,0.43825,4.97067,4.970674
50264,5026.5,896,11,324,324.0,1.00164,-0.00678557,-3.8677,0.477684,0.000183376,0.124864,3.9953,3.9952955
50264,5026.5,896,25,256,256.0,3.25399,-1.77732e-05,0.240967,-0.0326965,0.000486656,0.550426,3.2629,3.2628999
50264,5026.5,896,19,182,182.0,-3.00117,0.00163912,-1.25305,0.212993,-0.000287299,-0.511239,3.25225,3.2522538
50264,5026.5,896,23,131,131.0,-1.44039,-0.00611193,-5.96315,0.38922,-0.000346972,-0.0950216,6.13465,6.134646
50264,5026.5,896,12,79,79.0,2.4158,-0.000864332,-3.08881,0.397834,-0.000140691,0.307703,3.92133,3.921331
50264,5026.5,896,4,61,61.0,-2.6003,-0.00465337,4.34612,-0.382786,8.84398e-05,-0.231374,5.06462,5.0646143
50264,5026.5,896,5,36,36.0,3.25274,0.00888896,3.58006,-0.345773,0.000502725,0.290477,4.83707,4.8370595
50264,5026.5,896,197,31,31.0,2.59221,-0.0110154,-5.25635,0.355609,-0.000860641,0.19179,5.86079,5.860782
50264,5026.5,896,6,23,23.0,-44.5546,0.287238,35.3545,-0.0801183,0.000151816,-0.105028,56.8783,56.877525
50264,5026.5,896,222,21,21.0,-0.20822,0.0105973,5.66979,-0.422795,0.000978427,-0.0240004,5.67362,5.6736116
50264,5026.5,896,80,17,17.0,-4.70205,0.00948428,-5.12171,0.271523,-0.000707349,-0.264048,6.95279,6.9527826
50264,5026.5,896,42,14,14.0,5.52496,-0.0156347,-1.61926,0.0968514,-0.00162527,0.403668,5.75738,5.7573595
50264,5026.5,896,369,13,13.0,3.9607,-0.00351673,-4.30905,0.306754,-0.000127788,0.275736,5.85278,5.8527822
50264,5026.5,896,287,13,13.0,-2.24416,-0.00339464,6.35925,-0.366304,-0.000640081,-0.133008,6.74362,6.743613
50264,5026.5,896,26,12,12.0,1.84279,0.000254747,-6.64071,0.365157,-0.000443853,0.095625,6.89165,6.8916545
50264,5026.5,896,106,12,12.0,-69.2286,0.914802,21.8371,-0.0358085,-0.000256163,-0.112253,72.5968,72.591034
50264,5026.5,896,289,12,12.0,3.80295,-0.0473216,5.4027,-0.323242,0.00154899,0.218238,6.60711,6.6069355
50264,5026.5,896,10,11,11.0,4.33986,-0.00167236,1.32174,-0.143427,0.000768957,0.451403,4.53667,4.5366707
50264,5026.5,896,96,11,11.0,-4.82157,0.0116553,3.50272,-0.245279,-0.000443424,-0.335762,5.95958,5.9595795
50264,5026.5,896,269,11,11.0,-3.70921,-0.0102858,-5.78309,0.315562,-0.000684512,-0.214547,6.8704,6.870398
50264,5026.5,896,373,10,10.0,-2.03579,-0.0175678,5.67867,-0.388165,-0.000897401,-0.140854,6.03258,6.032556
50264,5026.5,896,331,10,10.0,0.836615,0.00116446,4.80421,-0.45134,0.000489755,0.0736765,4.87651,4.876511
50264,5026.5,896,82,10,10.0,18.5192,0.209832,64.237,-0.117462,0.000317053,0.0349188,66.8536,66.85322
50264,5026.5,896,669,10,10.0,4.66152,0.0085252,2.2222,-0.193481,-0.000270302,0.393758,5.16411,5.164101
50264,5026.5,896,237,9,9.0,-6.2324,-0.0106276,2.014,-0.125191,2.54885e-05,-0.372771,6.54974,6.549733
50264,5026.5,896,151,9,9.0,6.53264,-0.0127583,-1.89587,0.0990742,0.000539424,0.367039,6.80219,6.802184
50264,5026.5,896,223,9,9.0,-7.31378,-0.0142074,-1.20499,0.0542306,0.000353173,-0.364311,7.4124,7.4123797
50264,5026.5,896,365,9,9.0,8.49641,0.0862731,-69.4602,0.11835,-0.000540265,0.0114191,69.978,69.97791
50264,5026.5,896,188,9,9.0,6.21433,-0.00481861,-2.43984,0.132629,0.00070663,0.354968,6.67613,6.676131
50264,5026.5,896,293,8,8.0,7.30088,-0.0368166,-1.69209,0.0790656,0.000847551,0.350797,7.49449,7.494399
50264,5026.5,896,234,8,8.0,3.51193,5.10807e-05,4.18335,-0.333291,-0.000570262,0.269585,5.46206,5.462057
50264,5026.5,896,711,8,8.0,-0.803507,4.27549e-05,2.30534,-0.612141,0.0003368,-0.208752,2.44135,2.4413555
