frame,sim_time_T0,sim_time_years,n_aggregates,agg_id,n_particles,mass_Msun,mass_Mearth,cx_AU,cy_AU,cz_AU,vx,vy,vz,dist_center_AU
9999,1000.0,159.155,733,4,237,0.000711711,236.961,5.02155,0.00107685,-2.10578,0.132834,0.00100469,0.388045,5.44521
9999,1000.0,159.155,733,6,209,0.000627627,208.966,-0.283646,0.00331777,4.40944,-0.483704,-0.00127518,-0.0636241,4.41856
9999,1000.0,159.155,733,10,82,0.000246246,81.9866,4.70127,-0.00188335,3.40568,-0.254053,-0.000381705,0.300904,5.80522
9999,1000.0,159.155,733,18,29,8.7087e-05,28.9953,-2.58205,0.00974994,4.91799,-0.376695,0.000639998,-0.189308,5.55461
9999,1000.0,159.155,733,52,23,6.9069e-05,22.9962,0.689249,0.011072,6.04552,-0.404328,-0.000611715,0.0490877,6.0847
9999,1000.0,159.155,733,140,23,6.9069e-05,22.9962,0.0434898,0.00433364,-6.31987,0.389226,-0.000414481,-0.0322311,6.32002
9999,1000.0,159.155,733,289,13,3.9039e-05,12.9979,3.2865,0.0149143,-5.49506,0.343139,0.000489074,0.156667,6.40289
9999,1000.0,159.155,733,133,12,3.6036e-05,11.998,-0.669429,0.0320699,5.76026,-0.415689,-0.000684129,-0.0450911,5.79912
9999,1000.0,159.155,733,288,11,3.3033e-05,10.9982,-5.20345,0.00531832,4.76418,-0.24152,-0.000631535,-0.320037,7.05503
9999,1000.0,159.155,733,295,11,3.3033e-05,10.9982,-5.22521,-0.0163966,2.80072,-0.20806,-0.00124946,-0.354104,5.9285
9999,1000.0,159.155,733,45,11,3.3033e-05,10.9982,-3.39765,0.0245761,3.13655,-0.282498,-0.00183043,-0.376172,4.62413
9999,1000.0,159.155,733,373,9,2.7027e-05,8.99853,4.48085,-0.000564342,5.08401,-0.293808,-0.00224079,0.258522,6.77681
9999,1000.0,159.155,733,446,9,2.7027e-05,8.99853,-2.63102,0.00660116,5.75782,-0.381324,-0.001451,-0.184641,6.33047
9999,1000.0,159.155,733,271,8,2.4024e-05,7.99869,4.76613,0.0105867,5.63954,-0.317626,7.75981e-05,0.216779,7.3838
9999,1000.0,159.155,733,94,8,2.4024e-05,7.99869,-5.0123,-0.00522699,-2.15372,0.166058,0.0014135,-0.390538,5.45542
9999,1000.0,159.155,733,330,7,2.1021e-05,6.99886,-5.95015,-0.0337353,0.887028,-0.0947064,0.00260916,-0.415518,6.016
9999,1000.0,159.155,733,77,7,2.1021e-05,6.99886,1.23461,-0.00789202,6.44468,-0.398878,-0.000688285,0.07921,6.56187
9999,1000.0,159.155,733,213,7,2.1021e-05,6.99886,1.25976,-0.000181862,-0.932444,0.453722,0.00346479,0.625069,1.5673
9999,1000.0,159.155,733,195,7,2.1021e-05,6.99886,5.70919,0.0323674,2.58276,-0.137474,-0.000318191,0.360097,6.2663
9999,1000.0,159.155,733,98,7,2.1021e-05,6.99886,-5.67583,-0.00129418,-2.27415,0.122074,0.000274242,-0.397836,6.11448
9999,1000.0,159.155,733,83,7,2.1021e-05,6.99886,2.57496,0.0284294,-3.34582,0.385526,0.000387762,0.300089,4.22205
9999,1000.0,159.155,733,194,7,2.1021e-05,6.99886,-2.06898,0.00187163,5.92437,-0.379936,0.000433345,-0.131646,6.27526
9999,1000.0,159.155,733,236,6,1.8018e-05,5.99902,1.38096,-0.0102585,0.710107,-0.396244,-0.00497927,0.680624,1.55287
9999,1000.0,159.155,733,119,6,1.8018e-05,5.99902,-3.5723,-0.00737477,-5.08972,0.307505,0.000890948,-0.276553,6.21825
9999,1000.0,159.155,733,423,6,1.8018e-05,5.99902,-0.285491,-0.018971,7.7142,-0.373764,0.000804322,-0.0489609,7.7195
9999,1000.0,159.155,733,415,6,1.8018e-05,5.99902,2.09759,0.0191716,-5.82291,0.402652,0.00182162,0.10112,6.18923
9999,1000.0,159.155,733,224,6,1.8018e-05,5.99902,-3.11332,0.0336854,4.92992,-0.351161,-0.000753467,-0.223877,5.83078
9999,1000.0,159.155,733,182,5,1.5015e-05,4.99918,5.92911,-0.00770329,10.0084,-0.263322,-0.000638651,0.105572,11.6328
9999,1000.0,159.155,733,20,5,1.5015e-05,4.99918,4.9586,-0.0302688,-3.47301,0.235357,-0.000330654,0.317947,6.05396
9999,1000.0,159.155,733,193,5,1.5015e-05,4.99918,-0.686742,-0.0427556,-4.94319,0.440032,0.00178555,-0.0517458,4.99085
9999,1000.0,159.155,733,137,5,1.5015e-05,4.99918,2.03328,-0.000566612,5.84691,-0.382069,0.000374234,0.121186,6.19036
9999,1000.0,159.155,733,598,5,1.5015e-05,4.99918,-1.2823,-0.00502269,0.301035,-0.222655,0.00399647,-0.870819,1.31717
9999,1000.0,159.155,733,662,4,1.2012e-05,3.99935,-1.0999,0.00615986,0.466456,-0.374338,-0.00598834,-0.866276,1.19474
