frame,sim_time_T0,sim_time_years,n_aggregates,agg_id,n_particles,mass_Msun,mass_Mearth,cx_AU,cy_AU,cz_AU,vx,vy,vz,dist_center_AU,true_mass_Mearth,r_cyl,period_yr
9999,1000.0,159.155,322,6,609,9.135e-05,30.4146,3.09132,-0.00851163,4.49921,-0.349933,-0.000150432,0.244276,5.45887,30.450000000000003,5.458859767982687,12.754190718042812
9999,1000.0,159.155,322,15,527,7.905e-05,26.3194,-2.36425,0.00970096,-4.97247,0.383765,-0.000768189,-0.181365,5.50593,26.35,5.505918267046833,12.919468288938692
9999,1000.0,159.155,322,7,356,5.34e-05,17.7793,5.34451,-0.0048584,-0.741611,0.0577446,0.000127344,0.424728,5.39572,17.8,5.395718118603027,12.533543711014897
9999,1000.0,159.155,322,0,347,5.205e-05,17.3298,-4.73037,0.0134224,2.58424,-0.212713,-0.000374928,-0.372752,5.39026,17.35,5.390240877224319,12.514464187725059
9999,1000.0,159.155,322,33,346,5.19e-05,17.2799,-5.06536,0.0259101,-1.73526,0.139389,-0.00143282,-0.408095,5.35441,17.3,5.354343955817557,12.3896603089377
9999,1000.0,159.155,322,9,303,4.545e-05,15.1324,-2.55637,0.0236625,4.62904,-0.380264,0.000725319,-0.209212,5.28807,15.15,5.288008972997304,12.160131603216334
9999,1000.0,159.155,322,34,260,3.9e-05,12.9849,4.69997,5.63142e-05,2.00621,-0.173502,0.000492326,0.406554,5.11024,13.0,5.11024427645098,11.552141257278569
9999,1000.0,159.155,322,10,254,3.81e-05,12.6852,1.74616,8.99317e-05,-4.97557,0.410007,-0.000222536,0.144052,5.27308,12.700000000000001,5.273079894188974,12.10867233757926
9999,1000.0,159.155,322,8,235,3.525e-05,11.7363,5.17836,-0.00271294,-0.982776,0.0857344,2.76953e-05,0.427975,5.2708,11.75,5.270793199868119,12.100796722921421
9999,1000.0,159.155,322,5,207,3.105e-05,10.338,-3.21379,0.00316972,4.24587,-0.344671,-2.21186e-05,-0.261236,5.32502,10.350000000000001,5.325021898640418,12.288025308468725
9999,1000.0,159.155,322,19,201,3.015e-05,10.0383,-5.20721,0.00262538,0.0438091,-0.00726959,-0.000132282,-0.43599,5.2074,10.05,5.2073942832613325,11.883125750368633
9999,1000.0,159.155,322,12,188,2.82e-05,9.38908,3.41197,-0.000758012,-4.25426,0.341995,-0.000193478,0.260161,5.45346,9.4,5.453463800970902,12.735284521851828
9999,1000.0,159.155,322,23,177,2.655e-05,8.83972,-0.881427,0.00732819,5.18811,-0.428113,0.000772874,-0.070946,5.26246,8.85,5.262451798204806,12.072082545663536
9999,1000.0,159.155,322,38,175,2.625e-05,8.73983,3.46725,-0.00018772,-4.30213,0.319191,-1.02611e-05,0.274123,5.52541,8.75,5.525409043627449,12.988130729072719
9999,1000.0,159.155,322,4,69,1.035e-05,3.44599,7.0476,0.000108694,2.37493,-0.116448,4.13414e-05,0.347389,7.437,3.45,7.43699927826405,20.281338286651543
9999,1000.0,159.155,322,1,48,7.2e-06,2.39721,3.01579,0.00125326,-6.7828,0.337274,-3.94088e-05,0.145814,7.42303,2.4000000000000004,7.423029379175324,20.224219452077303
9999,1000.0,159.155,322,64,32,4.8e-06,1.59814,4.13246,-0.000278161,3.30801,-0.271217,3.13054e-05,0.338436,5.29341,1.6,5.293406824692393,12.178755437342396
9999,1000.0,159.155,322,31,30,4.5e-06,1.49826,7.5056,0.000571664,-0.769132,0.0408084,-1.91486e-05,0.360885,7.54491,1.5,7.544905260732172,20.724338931656078
9999,1000.0,159.155,322,68,28,4.2e-06,1.39837,3.26941,0.00609493,-6.66247,0.330166,-0.000121845,0.157755,7.42143,1.4000000000000001,7.421424947339965,20.21766283756481
9999,1000.0,159.155,322,84,27,4.05e-06,1.34843,5.93064,0.000406505,4.62812,-0.219341,0.000211903,0.290088,7.52276,1.35,7.522764488138653,20.63318150852309
9999,1000.0,159.155,322,92,24,3.6e-06,1.19861,-6.96118,0.00266367,3.37604,-0.157674,-5.15096e-05,-0.322909,7.73664,1.2000000000000002,7.736644820204686,21.519342068191282
9999,1000.0,159.155,322,49,22,3.3e-06,1.09872,0.851942,0.000855426,7.5991,-0.356849,3.04995e-05,0.0474842,7.64671,1.1,7.646706871677768,21.1451934855963
9999,1000.0,159.155,322,44,19,2.85e-06,0.948896,7.54531,0.000794701,-1.46509,0.0751734,-2.82416e-05,0.351896,7.68624,0.9500000000000001,7.686233909022024,21.309359454486792
9999,1000.0,159.155,322,47,18,2.7e-06,0.898954,7.2724,-5.43789e-05,1.14082,-0.0550673,4.28334e-06,0.363421,7.36134,0.9,7.3613362939346825,19.972617628994097
9999,1000.0,159.155,322,177,17,2.55e-06,0.849012,-1.4979,-0.000682126,5.26418,-0.41094,2.17048e-05,-0.115958,5.47314,0.8500000000000001,5.473143108160063,12.804281277072752
9999,1000.0,159.155,322,152,17,2.55e-06,0.849012,0.839746,0.000856583,-5.21717,0.42945,-3.01741e-05,0.0673936,5.28432,0.8500000000000001,5.284319838296694,12.147408703538805
9999,1000.0,159.155,322,51,15,2.25e-06,0.749129,2.41614,0.000665508,7.3906,-0.33662,4.91485e-05,0.120443,7.77552,0.75,7.775519330539923,21.68173879635004
9999,1000.0,159.155,322,101,14,2.1e-06,0.699187,-0.875896,0.00042923,-5.36727,0.419794,1.8672e-05,-0.0712303,5.43827,0.7000000000000001,5.438270042551768,12.682099425186978
9999,1000.0,159.155,322,111,14,2.1e-06,0.699187,3.4736,-0.000327329,6.07849,-0.326753,5.43657e-05,0.188455,7.00099,0.7000000000000001,7.000995474937833,18.524209986588506
9999,1000.0,159.155,322,55,14,2.1e-06,0.699187,-5.09893,0.000540579,3.35729,-0.221902,7.65077e-05,-0.338555,6.10496,0.7000000000000001,6.104955633663524,15.084251619637707
9999,1000.0,159.155,322,229,14,2.1e-06,0.699187,6.11106,5.16348e-05,-4.15997,0.208871,-2.7399e-06,0.3015,7.39259,0.7000000000000001,7.392591205017359,20.09995276902356
9999,1000.0,159.155,322,88,12,1.8e-06,0.599303,-3.99717,0.000269031,6.34123,-0.313756,1.04694e-06,-0.185438,7.4959,0.6000000000000001,7.495903275910115,20.52276919331093
9999,1000.0,159.155,322,139,12,1.8e-06,0.599303,-0.853445,0.000410939,-7.53471,0.359667,-1.30304e-05,-0.0460417,7.58289,0.6000000000000001,7.582890158252656,20.881041071689413
9999,1000.0,159.155,322,94,12,1.8e-06,0.599303,1.17334,0.000670446,7.87906,-0.348633,1.78849e-05,0.058446,7.96595,0.6000000000000001,7.965947102460573,22.483096641268876
9999,1000.0,159.155,322,205,12,1.8e-06,0.599303,-1.69984,0.00138106,7.4123,-0.353475,1.37597e-06,-0.0790969,7.60471,0.6000000000000001,7.604712178353629,20.97124299213557
9999,1000.0,159.155,322,93,11,1.65e-06,0.549361,-3.80621,0.000329295,-5.49252,0.316466,-2.57051e-06,-0.221704,6.68244,0.55,6.682440460976813,17.274387081672096
9999,1000.0,159.155,322,136,11,1.65e-06,0.549361,-5.46909,-0.000948921,4.87702,-0.247085,-1.46686e-05,-0.273844,7.32777,0.55,7.327773843978811,19.836182072758437
9999,1000.0,159.155,322,42,10,1.5e-06,0.499419,-5.05174,0.0012636,-1.39844,0.112424,0.000144416,-0.422162,5.24172,0.5,5.241727907970805,12.00084178537178
9999,1000.0,159.155,322,39,10,1.5e-06,0.499419,5.45424,0.000338794,-5.43502,0.25721,-1.06007e-05,0.250083,7.69988,0.5,7.699881582076442,21.366139972579553
9999,1000.0,159.155,322,79,10,1.5e-06,0.499419,7.09516,3.36123e-05,-2.63038,0.134293,-9.93164e-06,0.336935,7.56705,0.5,7.567046608155655,20.81563257722047
9999,1000.0,159.155,322,225,9,1.35e-06,0.449477,-4.294,0.000600001,4.08103,-0.283203,1.02594e-05,-0.297998,5.92395,0.45,5.923954917190035,14.41841817544552
9999,1000.0,159.155,322,223,9,1.35e-06,0.449477,-0.863867,0.00032496,7.32123,-0.365157,3.87808e-06,-0.0398203,7.37202,0.45,7.372019730480176,20.016112502116037
9999,1000.0,159.155,322,66,9,1.35e-06,0.449477,-4.3696,-0.000183627,2.90016,-0.253407,3.05125e-05,-0.353786,5.24445,0.45,5.244457282274306,12.01021628551549
9999,1000.0,159.155,322,87,9,1.35e-06,0.449477,-7.59448,0.000450762,0.53131,-0.0278544,-6.04029e-06,-0.360821,7.61305,0.45,7.613042544640086,21.00571095715655
9999,1000.0,159.155,322,21,9,1.35e-06,0.449477,-7.65568,0.000251815,1.92483,-0.0885046,-5.04382e-06,-0.344221,7.89395,0.45,7.893947478372275,22.178968739696774
9999,1000.0,159.155,322,189,9,1.35e-06,0.449477,-0.212544,-0.000141662,5.48998,-0.42627,2.23626e-05,-0.0140836,5.4941,0.45,5.4940927688141565,12.87786839261546
9999,1000.0,159.155,322,204,9,1.35e-06,0.449477,-5.48998,-0.00463571,5.49133,-0.256247,9.04397e-05,-0.250549,7.76496,0.45,7.764958825988712,21.637582452198018
9999,1000.0,159.155,322,90,9,1.35e-06,0.449477,-7.70927,0.000153038,-0.307007,0.0121325,-6.46572e-06,-0.359051,7.71538,0.45,7.715380562937191,21.430683818855062
